Accountant
Actor/Actress
Architect
Artist
Banker
Businessman
Bus driver
Carpenter
Chef/Cook
Dancer
Designer
Doctor
Electrician
Engineer
Farmer
Fireman/Fire fighter
Gardener
Govt.
Journalist
Judge
Lawyer
Lecturer
Mechanic
Model
NGO
Newsreader
Nurse
Painter
Pharmacist
Photographer
Pilot
Plumber
Policeman/Policewoman
Scientist
Secretary
Soldier
Study
Tailor
Taxi driver
Teacher
Translator
Veterinary doctor (Vet)
